_id,tags
6284ee234d01b4b8db06f1df,javedali alluarjun rashmikamandanna romantic classical south 2021 devisriprasad
6284ee234d01b4b8db06f1e1,sunidhichauhan alluarjun rashmikamandanna dance south 2021 devisriprasad
6284ee244d01b4b8db06f1e3,indravatichauhan alluarjun samantharuthprabhu dance south rock itemsong 2021 devisriprasad
6284ee244d01b4b8db06f1e5,shivam alluarjun rock south 2021 devisriprasad
6284ef404d01b4b8db06f1e7,sachettandon paramparathakur shahidkapoor kiaraadvani romantic soft punjabi 2019
6284ef404d01b4b8db06f1e9,akhilsachdeva tulsikumar shahidkpoor kiaraadvani romantic soft 2019
6284ef404d01b4b8db06f1eb,sachettandon shahidkapoor breakup romantic rock 2019
6284ef404d01b4b8db06f1ed,armaanmalik shahidkapoor kiaraadvani romantic soft 2019 vishalmishra
6284f00e4d01b4b8db06f1ef,arijitsingh rajkumarrao abhishekbacchan adityaroykapoor sanyamalhotra fatimasanashaikh romantic pop 2020 pritam
6284f00e4d01b4b8db06f1f1,arijitsingh rajkumarrao abhishekbacchan adityaroykapoor sanyamalhotra fatimasanashaikh rock dance romantic 2020 pritam
6284f0d54d01b4b8db06f1f3,jubinnautiyal aseeskaur siddharthmalhotra kiaraadvani romantic soft 2021 tanishkbagchi
6284f0d54d01b4b8db06f1f5,bpraak siddharthmalhotra kiaraadvani sad romantic 2021
6284f0d54d01b4b8db06f1f7,jasleenroyal bpraak romi siddharthmalhotra kiaraadvani romantic soft 2021
6284f1714d01b4b8db06f1f9,vishalmishra rahulsipligunj ramcharan jrntr dance rock south 2022 mmkeeravani
6284f1714d01b4b8db06f1fb,vishalmishra bennydayal sahitichaganti ramcharan jrntr aliabhatt dance rock 2022 mmkeeravani
6284f2db4d01b4b8db06f1fd,ananyabhat mohankrishna santhoshvenky yash south 2018 ravibasrur
6284f2db4d01b4b8db06f1ff,ananyabhat yash sad emotional 2018 ravibasrur
6284f2db4d01b4b8db06f201,ananyabhat mohankrishna santhoshvenky yash rock 2018 ravibasrur
62b494826f5f23e8908ceb0b,akhilsachdeva varundhavan aliabhatt soft romantic 2017
62b495e26f5f23e8908ceb0f,arijitsingh varundhavan aliabhatt sad breakup romantic 2017 amaalmalik
62b495e26f5f23e8908ceb11,nehakakkar devnegi monalithakur varundhavan aliabhatt dance rock 2017 tanishkbagchi
62b495e26f5f23e8908ceb13,amaalmalik shreyaghoshal varundhavan aliabhatt dance shaadi rock 2017
62b4974a6f5f23e8908ceb15,tulsikumar rahatfatehalikhan ajaydevgan kanganaranaut romantic soft 2010 pritam
62b4974a6f5f23e8908ceb17,kk ajaydevgan kanganaranaut emraanhashmi prachidesai romantic soft 2010 pritam
62b4974a6f5f23e8908ceb19,mohitchauhan emraanhashmi prachidesai romantic soft 2010 pritam